Артикул WB (nmid),Наименование,"Продано, шт","Выручка, руб","К выплате, руб","COGS, руб","Упаковка, руб","Прибыль за период, руб","ROI, %"
1002814727,Подвеска из метеорит Кампо дель Сьело,1,3823,3573,1100,775,1698,91
863679106,"Подвеска с метеоритом Кампо Дель Сьело 7,5 гр.",1,4084,3523,1100,775,1648,88
820177972,"Подвеска с метеоритом Кампо Дель Сьело - 8,1 гр.",1,3822,3449,1250,775,1424,70
710291050,Подвеска из метеорита Campo del Cielo,1,3885,3202,1150,775,1277,66
817111827,"Дронино метеорит осколок 7,1 гр.",1,3713,3442,1400,775,1267,58
690996240,Коллекционный образец метеорит Campo del Cielo,1,2998,2719,700,775,1244,84
711978621,Подвеска из метеорита Сихотэ-Алинь,1,5039,3790,1800,775,1215,47
318124238,"Метеорит Каньон Дьябло - коллекционный образец: 15,6 гр.",1,9023,8125,6240,775,1110,16
710251303,Подвеска из метеорита Кампо Дель Сьело,1,3594,3012,1150,775,1087,56
710552269,Мужской браслет из натуральных камней,1,11682,9269,7600,775,894,11
817146071,Метеорит железный Дронино 24 гр.,1,5220,4641,3120,775,746,19
597042204,"Коллекционный образец метеорит Дронино - 29,7 гр.",1,5260,4876,3900,775,201,4
307131325,Подвеска с метеоритом Муонионалуста,1,19634,17938,18000,775,-837,-4
